"topic","page","modul","replace"
"uemz","uemz009","episodes","replace modul="episodes" if page=="uemz009""
"semz","semz008","episodes","replace modul="episodes" if page=="semz008""
"semz","semz009","episodes","replace modul="episodes" if page=="semz009""
"semz","semz014","episodes","replace modul="episodes" if page=="semz014""
"semz","semz015","episodes","replace modul="episodes" if page=="semz015""
"semz","semz016","episodes","replace modul="episodes" if page=="semz016""
"semz","semz033","episodes","replace modul="episodes" if page=="semz033""
"semz","semz018","episodes","replace modul="episodes" if page=="semz018""
"semz","semz026","episodes","replace modul="episodes" if page=="semz026""
"semz","semz032","episodes","replace modul="episodes" if page=="semz032""
"semz","semz027","episodes","replace modul="episodes" if page=="semz027""
"semz","semz028","episodes","replace modul="episodes" if page=="semz028""
"semz","semz030","episodes","replace modul="episodes" if page=="semz030""
"index","index","conventional","replace modul="conventional" if page=="index""
"beg","beg_00","conventional","replace modul="conventional" if page=="beg_00""
"set","set_01","conventional","replace modul="conventional" if page=="set_01""
"beg","beg_01","conventional","replace modul="conventional" if page=="beg_01""
"beg","beg_02","conventional","replace modul="conventional" if page=="beg_02""
"beg","beg_03","conventional","replace modul="conventional" if page=="beg_03""
"psy","psy_00","conventional","replace modul="conventional" if page=="psy_00""
"psy","psy_01","conventional","replace modul="conventional" if page=="psy_01""
"psy","psy_02","conventional","replace modul="conventional" if page=="psy_02""
"psy","psy_03","conventional","replace modul="conventional" if page=="psy_03""
"psy","psy_04","conventional","replace modul="conventional" if page=="psy_04""
"sch","sch_00","conventional","replace modul="conventional" if page=="sch_00""
"sch","sch_01","conventional","replace modul="conventional" if page=="sch_01""
"sch","sch_02","conventional","replace modul="conventional" if page=="sch_02""
"sch","sch_03","conventional","replace modul="conventional" if page=="sch_03""
"sch","sch_04","conventional","replace modul="conventional" if page=="sch_04""
"sch","sch_05","conventional","replace modul="conventional" if page=="sch_05""
"sch","sch_06","conventional","replace modul="conventional" if page=="sch_06""
"cal","cal_00","conventional","replace modul="conventional" if page=="cal_00""
"zwischen","zwischen_cal","episodes","replace modul="episodes" if page=="zwischen_cal""
"aus","aus_00","conventional","replace modul="conventional" if page=="aus_00""
"aus","aus_01","conventional","replace modul="conventional" if page=="aus_01""
"aus","aus_02","conventional","replace modul="conventional" if page=="aus_02""
"zwischen","epi_end","episodes","replace modul="episodes" if page=="epi_end""
"stu","stu_00","conventional","replace modul="conventional" if page=="stu_00""
"stu","stu_01","conventional","replace modul="conventional" if page=="stu_01""
"stu","stu_02","conventional","replace modul="conventional" if page=="stu_02""
"stu","stu_03","conventional","replace modul="conventional" if page=="stu_03""
"stu","stu_04","conventional","replace modul="conventional" if page=="stu_04""
"stu","stu_05","conventional","replace modul="conventional" if page=="stu_05""
