"topic","page","modul","replace modul="modul" if page=="page"","recode"
"st","stcc21","episodes","replace modul="episodes" if page=="stcc21""
"st","stcc23","episodes","replace modul="episodes" if page=="stcc23""
"st","stcc24","episodes","replace modul="episodes" if page=="stcc24""
"st","stcc29","episodes","replace modul="episodes" if page=="stcc29""
"st","stcc33","episodes","replace modul="episodes" if page=="stcc33""
"st","stcc31","episodes","replace modul="episodes" if page=="stcc31""
"st","stcc25","episodes","replace modul="episodes" if page=="stcc25""
"st","stcc34","episodes","replace modul="episodes" if page=="stcc34""
"st","stca42","episodes","replace modul="episodes" if page=="stca42""
"st","stca43","episodes","replace modul="episodes" if page=="stca43""
"st","stca47","episodes","replace modul="episodes" if page=="stca47""
"st","stda01","episodes","replace modul="episodes" if page=="stda01""
"st","stda04","episodes","replace modul="episodes" if page=="stda04""
"st","stda07","episodes","replace modul="episodes" if page=="stda07""
"st","stda09","episodes","replace modul="episodes" if page=="stda09""
"st","stda10","episodes","replace modul="episodes" if page=="stda10""
"st","stda16","episodes","replace modul="episodes" if page=="stda16""
"st","stda17","episodes","replace modul="episodes" if page=="stda17""
"st","stda18","episodes","replace modul="episodes" if page=="stda18""
"st","stda19","episodes","replace modul="episodes" if page=="stda19""
"st","stda21","episodes","replace modul="episodes" if page=="stda21""
"st","stda23","episodes","replace modul="episodes" if page=="stda23""
"st","stda24","episodes","replace modul="episodes" if page=="stda24""
"st","stda29","episodes","replace modul="episodes" if page=="stda29""
"st","stda33","episodes","replace modul="episodes" if page=="stda33""
"st","stda31","episodes","replace modul="episodes" if page=="stda31""
"st","stda25","episodes","replace modul="episodes" if page=="stda25""
"st","stda34","episodes","replace modul="episodes" if page=="stda34""
"st","stdb04","episodes","replace modul="episodes" if page=="stdb04""
"st","stdb07","episodes","replace modul="episodes" if page=="stdb07""
"st","stdb09","episodes","replace modul="episodes" if page=="stdb09""
"st","stdb10","episodes","replace modul="episodes" if page=="stdb10""
"st","stdb16","episodes","replace modul="episodes" if page=="stdb16""
"st","stdb17","episodes","replace modul="episodes" if page=="stdb17""
"st","stdb18","episodes","replace modul="episodes" if page=="stdb18""
